CALENDAR_DATE,PRICE,QUANTITY,SELL_ID,SELL_CATEGORY
01/01/12,15.5,46,1070,0
01/01/12,12.73,22,2051,2
01/01/12,12.75,18,2052,2
01/01/12,12.6,30,2053,2
01/02/12,15.5,70,1070,0
01/02/12,12.73,22,2051,2
01/02/12,12.75,16,2052,2
01/02/12,12.6,34,2053,2
01/03/12,15.5,62,1070,0
01/03/12,12.73,26,2051,2
01/03/12,12.75,12,2052,2
01/03/12,12.6,28,2053,2
01/04/12,15.5,88,1070,0
01/04/12,12.73,26,2051,2
01/04/12,12.75,24,2052,2
01/04/12,12.6,42,2053,2
01/05/12,15.5,104,1070,0
01/05/12,12.73,36,2051,2
01/05/12,12.75,24,2052,2
01/05/12,12.6,58,2053,2
01/06/12,15.5,100,1070,0
01/06/12,12.73,38,2051,2
01/06/12,12.75,20,2052,2
01/06/12,12.6,54,2053,2
01/07/12,15.5,70,1070,0
01/07/12,12.73,24,2051,2
01/07/12,12.75,18,2052,2
01/07/12,12.6,42,2053,2
01/08/12,15.5,70,1070,0
01/08/12,12.73,26,2051,2
01/08/12,12.75,18,2052,2
01/08/12,12.6,42,2053,2
01/09/12,15.5,106,1070,0
01/09/12,12.73,34,2051,2
01/09/12,12.75,24,2052,2
01/09/12,12.6,54,2053,2
01/10/12,15.5,108,1070,0
01/10/12,12.73,40,2051,2
01/10/12,12.75,28,2052,2
01/10/12,12.6,58,2053,2
01/11/12,15.5,104,1070,0
01/11/12,12.73,32,2051,2
01/11/12,12.75,26,2052,2
01/11/12,12.6,52,2053,2
01/12/12,15.5,102,1070,0
01/12/12,12.73,32,2051,2
01/12/12,12.75,26,2052,2
01/12/12,12.6,60,2053,2
1/13/12,15.5,100,1070,0
1/13/12,12.73,40,2051,2
1/13/12,12.75,26,2052,2
1/13/12,12.6,58,2053,2
1/14/12,15.5,74,1070,0
1/14/12,12.73,24,2051,2
1/14/12,12.75,20,2052,2
1/14/12,12.6,42,2053,2
1/15/12,15.5,60,1070,0
1/15/12,12.73,22,2051,2
1/15/12,12.75,18,2052,2
1/15/12,12.6,32,2053,2
1/16/12,15.5,104,1070,0
1/16/12,12.73,40,2051,2
1/16/12,12.75,28,2052,2
1/16/12,12.6,56,2053,2
1/17/12,15.5,106,1070,0
1/17/12,12.73,38,2051,2
1/17/12,12.75,22,2052,2
1/17/12,12.6,54,2053,2
1/18/12,15.5,108,1070,0
1/18/12,12.73,40,2051,2
1/18/12,12.75,24,2052,2
1/18/12,12.6,58,2053,2
1/19/12,15.5,100,1070,0
1/19/12,12.73,32,2051,2
1/19/12,12.75,24,2052,2
1/19/12,12.6,54,2053,2
1/20/12,15.5,100,1070,0
1/20/12,12.73,36,2051,2
1/20/12,12.75,22,2052,2
1/20/12,12.6,58,2053,2
1/21/12,15.5,70,1070,0
1/21/12,12.73,22,2051,2
1/21/12,12.75,22,2052,2
1/21/12,12.6,40,2053,2
1/22/12,15.5,74,1070,0
1/22/12,12.73,30,2051,2
1/22/12,12.75,16,2052,2
1/22/12,12.6,34,2053,2
1/23/12,15.5,108,1070,0
1/23/12,12.73,38,2051,2
1/23/12,12.75,20,2052,2
1/23/12,12.6,52,2053,2
1/24/12,15.5,100,1070,0
1/24/12,12.73,36,2051,2
1/24/12,12.75,26,2052,2
1/24/12,12.6,56,2053,2
1/25/12,15.5,100,1070,0
1/25/12,12.73,38,2051,2
1/25/12,12.75,26,2052,2
1/25/12,12.6,60,2053,2
1/26/12,15.5,106,1070,0
1/26/12,12.73,38,2051,2
1/26/12,12.75,26,2052,2
1/26/12,12.6,52,2053,2
1/27/12,15.5,86,1070,0
1/27/12,12.73,28,2051,2
1/27/12,12.75,18,2052,2
1/27/12,12.6,46,2053,2
1/28/12,15.5,62,1070,0
1/28/12,12.73,24,2051,2
1/28/12,12.75,14,2052,2
1/28/12,12.6,34,2053,2
1/29/12,15.5,70,1070,0
1/29/12,12.73,22,2051,2
1/29/12,12.75,14,2052,2
1/29/12,12.6,38,2053,2
1/30/12,15.5,106,1070,0
1/30/12,12.73,34,2051,2
1/30/12,12.75,22,2052,2
1/30/12,12.6,52,2053,2
1/31/12,15.5,84,1070,0
1/31/12,12.73,30,2051,2
1/31/12,12.75,16,2052,2
1/31/12,12.6,42,2053,2
02/01/12,15.5,90,1070,0
02/01/12,12.73,28,2051,2
02/01/12,12.75,20,2052,2
02/01/12,12.6,48,2053,2
02/02/12,15.5,64,1070,0
02/02/12,12.73,18,2051,2
02/02/12,12.75,18,2052,2
02/02/12,12.6,34,2053,2
02/03/12,15.5,62,1070,0
02/03/12,12.73,20,2051,2
02/03/12,12.75,16,2052,2
02/03/12,12.6,32,2053,2
02/04/12,15.5,42,1070,0
02/04/12,12.73,12,2051,2
02/04/12,12.75,16,2052,2
02/04/12,12.6,20,2053,2
02/05/12,15.5,38,1070,0
02/05/12,12.73,12,2051,2
02/05/12,12.75,8,2052,2
02/05/12,12.6,28,2053,2
02/06/12,15.5,56,1070,0
02/06/12,12.73,26,2051,2
02/06/12,12.75,12,2052,2
02/06/12,12.6,32,2053,2
02/07/12,15.5,56,1070,0
02/07/12,12.73,18,2051,2
02/07/12,12.75,18,2052,2
02/07/12,12.6,30,2053,2
02/08/12,15.5,60,1070,0
02/08/12,12.73,20,2051,2
